;file;sp;stage;p;year;p_norm;s;s_norm;i;i_norm;l;l_norm;classic?;type
25;gorky-egor-bulychov-i-drugie;2072;199;9.604247104247104;1932;0.014477749493522362;5.155778894472362;0.14777898604640516;0.041023166023166024;0.07112838169539201;1.2378854625550662;0.526045687815069;0.07779503907843985;classic
26;turgenev-vecher-v-sorrente;448;144;32.142857142857146;1852;0.18006108857843875;5.145833333333333;0.14729688686408504;0.049107142857142856;0.0895465144820815;1.264367816091954;0.5846071809456097;0.13896816330820175;small_retreat
27;pushkin-kamenniy-gost;524;40;7.633587786259542;1839;0.0;2.625;0.02510250569476082;0.015267175572519083;0.012447207575876812;1.2075471698113207;0.4589574012837968;0.012516571090212543;
28;chekhov-jubilej;266;144;54.13533834586466;1892;0.3416322088080348;3.263888888888889;0.05607188053657302;0.06390977443609022;0.12327209777019868;1.173913043478261;0.3845809054235771;0.17365872903826884;small_retreat
29;shakhovskoy-pustodomy;2536;305;12.026813880126182;1819;0.03227550610846294;3.767213114754098;0.08046992046006197;0.05954258675078864;0.11332211345626415;1.25;0.5528350515463918;0.07535584667492969;classic
30;krylov-podschipa-ili-trumf;580;98;16.896551724137932;1800;0.06805177852714021;2.5714285714285716;0.022505694760820052;0.0706896551724138;0.1387190425405854;1.2040816326530612;0.45129391962970755;0.07642550527618189;classic
31;sukhovo-kobylin-svadba-krechinskogo;2158;709;32.85449490268768;1856;0.1852892440099312;3.739069111424542;0.0791056735560689;0.04031510658016682;0.06951517409845567;1.329192546583851;0.727956713837485;0.11130336388815192;small_retreat
32;lomonosov-tamira-i-selim;416;53;12.740384615384615;1750;0.03751786243899808;2.6792452830188678;0.02773198091717883;0.040865384615384616;0.07076890034364261;1.2727272727272727;0.6030927835051546;0.045339581233273175;classic
33;chekhov-chaika;1255;474;37.76892430278884;1896;0.22139384976742169;3.7742616033755274;0.08081158751669983;0.05338645418326693;0.09929628564778685;1.3099630996309963;0.6854338646479249;0.13383390764396946;small_retreat
34;gorky-na-dne;2375;525;22.105263157894736;1902;0.10631837216595641;4.744761904761905;0.12785542900531513;0.13473684210526315;0.28464098390305664;1.374167776298269;0.827412247587409;0.17293826169144275;small_retreat
35;chekhov-medved;306;102;33.33333333333333;1888;0.188807103633602;2.7450980392156863;0.03092411452052347;0.12091503267973856;0.2531500572737686;1.1428571428571428;0.31590574374079516;0.15762709180929801;small_retreat
36;bulgakov-kabala-svjatosh;1362;507;37.22466960352423;1936;0.21739539954078785;6.585798816568047;0.2170974916094944;0.1776798825256975;0.38248028218054103;1.3753581661891117;0.8300446046140665;0.2723243911102744;significant_retreat
37;sumarokov-semira;590;77;13.050847457627118;1751;0.03979872510054833;3.4935064935064934;0.06720231932077034;0.03728813559322034;0.06261867319005185;1.3164556962025316;0.6997912044891033;0.05653990587045684;classic
