;Amount of acts;Amount of directions;Author;Lemmas;Lemmas per direction;Published;Title;Words;Words per direction;Written;Directions per act;Words per act;Lemmas per act;A;ADV;INTJ;S;V;Words
gumilyov-don-zhuan-v-egipte.txt;1;42;Гумилёв, Николай Степанович;654;4.738095238095238;1911;Дон-Жуан в Египте;1501;2.9047619047619047;1911;42.0;1501.0;654.0;0.09523809523809523;0.2857142857142857;0.0;0;0.09523809523809523;1.119047619047619
gumilyov-gondla.txt;4;62;Гумилёв, Николай Степанович;1715;6.354838709677418;1917;Гондла;5934;4.209677419354839;1916;15.5;1483.5;428.75;0.14516129032258066;0.20967741935483872;0.11290322580645161;0;0.0967741935483871;1.6451612903225807
krylov-podschipa-ili-trumf.txt;2;99;Крылов, Иван Андреевич;1651;4.333333333333333;1859;Подщипа или Трумф;4972;2.606060606060606;1800;49.5;2486.0;825.5;0.0;0.15151515151515152;0.0;0;0.04040404040404041;1.02020202020202
krylov-sonnyj-poroshok-ili-pohischennaja-krestjanka.txt;3;88;Крылов, Иван Андреевич;1550;6.5227272727272725;1905;Сонный порошок или похищенная крестьянка;7605;4.215909090909091;1798;29.33333333333333;2535.0;516.6666666666666;0.125;0.25;0.0;0;0.011363636363636364;1.5340909090909092
lermontov-maskarad.txt;4;372;Лермонтов, Михаил Юрьевич;2521;5.333333333333333;1842;Маскарад;14509;3.46505376344086;1836;93.0;3627.25;630.25;0.08064516129032258;0.1935483870967742;0.002688172043010753;0;0.06451612903225806;1.2634408602150538
lomonosov-demofont.txt;6;54;Ломоносов, Михаил Васильевич;1996;4.925925925925926;1752;Демофонт;10627;2.851851851851852;1751;9.0;1771.166666666667;332.6666666666667;0.0;0.037037037037037035;0.0;0;0.09259259259259259;1.0555555555555556
mayakovsky-banja.txt;6;119;Маяковский, Владимир Владимирович;2901;9.008403361344536;1929;Баня;10942;6.857142857142858;1929;19.83333333333333;1823.666666666667;483.5;0.5378151260504201;0.2773109243697479;0.0;0;0.15966386554621848;2.3445378151260505
ostrovsky-bednost-ne-porok.txt;3;371;Островский, Александр Николаевич;2187;5.946091644204852;1854;Бедность не порок;12766;4.1940700808625335;1853;123.66666666666669;4255.333333333333;729.0;0.06199460916442048;0.12129380053908356;0.0;0;0.08355795148247978;1.247978436657682
ostrovsky-bespridannitsa.txt;4;403;Островский, Александр Николаевич;2757;5.640198511166253;1879;Бесприданница;18232;3.799007444168735;1878;100.75;4558.0;689.25;0.1687344913151365;0.18362282878411912;0.0024813895781637717;0;0.062034739454094295;1.2555831265508686
ostrovsky-groza.txt;5;297;Островский, Александр Николаевич;2154;5.525252525252526;1860;Гроза;15349;3.6262626262626254;1859;59.4;3069.8;430.8;0.08080808080808081;0.15151515151515152;0.003367003367003367;0;0.06734006734006734;1.2895622895622896
ostrovsky-snegurochka.txt;5;229;Островский, Александр Николаевич;3380;8.864628820960696;1873;Снегурочка;14885;7.048034934497816;1873;45.8;2977.0;676.0;0.37554585152838427;0.2052401746724891;0.004366812227074236;0;0.12663755458515283;2.3187772925764194
ostrovsky-svoi-ljudi.txt;4;232;Островский, Александр Николаевич;2743;4.9784482758620685;1850;Свои люди – сочтемся;17985;3.2198275862068964;1849;58.0;4496.25;685.75;0.10775862068965517;0.09913793103448276;0.008620689655172414;0;0.034482758620689655;1.125
ostrovsky-volki-i-ovtsy.txt;5;426;Островский, Александр Николаевич;3075;5.518779342723005;1875;Волки и овцы;23381;3.81924882629108;1875;85.2;4676.2;615.0;0.2981220657276995;0.14084507042253522;0.0;0;0.09859154929577464;1.3286384976525822
prutkov-blondy.txt;1;87;Прутков, Козьма;786;7.241379310344827;1854;Блонды;1960;5.4942528735632195;1853;87.0;1960.0;786.0;0.3563218390804598;0.3448275862068966;0.0;0;0.14942528735632185;2.32183908045977
prutkov-chereposlov-sirech-frenolog.txt;1;161;Прутков, Козьма;1090;10.180124223602485;1860;Черепослов, сиречь Френолог;3079;8.763975155279503;1856;161.0;3079.0;1090.0;0.5341614906832298;0.5341614906832298;0.006211180124223602;0;0.15527950310559005;3.7639751552795033
pushkin-boris-godunov.txt;1;172;Пушкин, Александр Сергеевич;2889;5.186046511627907;1831;Борис Годунов;10973;3.1918604651162785;1825;172.0;10973.0;2889.0;0.14534883720930233;0.14534883720930233;0.0;0;0.05813953488372093;0.9127906976744186
pushkin-kamenniy-gost.txt;1;40;Пушкин, Александр Сергеевич;1020;4.375;1839;Каменный гость;3768;2.625;1830;40.0;3768.0;1020.0;0.0;0.125;0.0;0;0.05;0.45
pushkin-mocart-i-saleri.txt;1;17;Пушкин, Александр Сергеевич;627;4.823529411764706;1831;Моцарт и Сальери;1388;2.9411764705882355;1830;17.0;1388.0;627.0;0.23529411764705882;0.0;0.0;0;0.11764705882352941;0.9411764705882353
pushkin-pir-vo-vremja-chumy.txt;1;9;Пушкин, Александр Сергеевич;658;6.111111111111112;1832;Пир во время чумы;1235;3.888888888888889;1830;9.0;1235.0;658.0;0.4444444444444444;0.1111111111111111;0.0;0;0.1111111111111111;0.8888888888888888
pushkin-rusalka.txt;1;45;Пушкин, Александр Сергеевич;1074;5.222222222222221;1837;Русалка;3085;3.2888888888888888;1832;45.0;3085.0;1074.0;0.24444444444444444;0.08888888888888889;0.0;0;0.044444444444444446;1.0888888888888888
pushkin-skupoj-rytsar.txt;1;23;Пушкин, Александр Сергеевич;919;4.782608695652174;1836;Скупой рыцарь;2409;2.8260869565217392;1830;23.0;2409.0;919.0;0.0;0.043478260869565216;0.0;0;0.21739130434782608;0.782608695652174
